PERSON_ID,NAO_IS_OPPONENT,moves,player_wins,player_score,computer_wins,computer_score,advice_given,advice_asked,advice_followed,advice_not_followed,recommended_moves,played_moves_after_recommendation
1,
1,
2,
2,
3,
3,
4,
4,
5,
5,
6,
6,
7,
7,
8,1,97,0,0,5,15
8,0,82
9,0,107,1,3,4,12,7,0,3,4,"[0, 4, 0, 0, 0, 0, 1]","[0, 4, 6, 0, 3, 2, 3]"
9,1,131,2,4,3,11,0,0,0,0,[],[]
10,1,108,0,0,5,15,0,0,0,0,[],[]
10,0,114,1,1,4,14,8,0,5,3,"[2, 1, 5, 6, 0, 4, 5, 6]","[2, 1, 5, 6, 2, 2, 5, 1]"
11,0,104,1,1,4,14,7,0,7,0,"[1, 2, 2, 0, 3, 4, 6]","[1, 2, 2, 0, 3, 4, 6]"
11,1,153,0,0,5,15,0,0,0,0,[],[]
12,1,75,1,1,4,14,0,0,0,0,[],[]
12,0,94,3,8,2,7,10,3,7,3,"[3, 4, 0, 2, 4, 2, 3, 2, 0, 0]","[3, 4, 0, 3, 4, 2, 3, 2, 1, 1]"
13,0,93,1,1,4,14,6,0,4,2,"[4, 3, 0, 3, 3, 0]","[2, 3, 0, 3, 3, 1]"
13,1,97,1,2,4,13,0,0,0,0,[],[]
14,1,72,0,0,5,15,0,0,0,0,[],[]
14,0,81,1,1,4,14,7,3,6,0,"[0, 1, 0, 0, 3, 2, 1]","[0, 1, 0, 0, 3, 2, 1]"
15,0,87,1,2,4,13,7,1,3,4,"[3, 3, 6, 2, 0, 1, 1]","[3, 3, 5, 3, 2, 4, 1]"
15,1,65,2,3,3,12,0,0,0,0,[],[]
16,1,93,0,0,5,15,0,0,0,0,[],[]
16,0,131,2,3,3,12,27,19,26,0,"[2, 2, 3, 3, 4, 6, 3, 3, 6, 4, 4, 5, 1, 2, 0, 3, 0, 1, 1, 4, 3, 4, 0, 0, 0, 1, 6]","[2, 3, 3, 2, 4, 6, 3, 3, 6, 4, 4, 5, 1, 2, 0, 3, 0, 1, 1, 4, 3, 4, 0, 0, 0, 1, 6]"
17,0,86,0,0,5,15,7,0,2,5,"[5, 0, 0, 2, 1, 2, 2]","[6, 0, 6, 2, 3, 6, 0]"
17,1,74,0,0,5,15,0,0,0,0,[],[]
18,1,109,0,0,5,15,0,0,0,0,[],[]
18,0,83,2,3,3,12,12,7,9,3,"[1, 1, 4, 3, 0, 3, 3, 3, 1, 6, 1, 0]","[1, 1, 4, 2, 4, 5, 3, 3, 1, 6, 1, 0]"
19,0,125,3,7,2,8,37,30,25,7,"[3, 3, 2, 0, 2, 3, 3, 2, 2, 2, 2, 6, 6, 6, 6, 0, 0, 0, 1, 4, 4, 1, 1, 2, 3, 3, 1, 3, 0, 0, 0, 2, 2, 4, 4, 5, 4]","[3, 1, 2, 0, 2, 3, 3, 2, 2, 6, 6, 6, 6, 0, 0, 0, 4, 4, 4, 1, 1, 1, 5, 1, 3, 1, 4, 1, 0, 0, 0, 2, 2, 5, 5, 5, 5]"
19,1,145,2,5,2,8,0,3,0,0,[],[]
20,1,70,1,1,4,14,0,0,0,0,[],[]
20,0,108,0,0,5,15,14,8,11,2,"[3, 3, 0, 1, 2, 6, 4, 2, 2, 3, 2, 2, 3, 3]","[3, 3, 0, 1, 5, 5, 4, 2, 5, 3, 2, 2, 3, 3]"
21,0,138,0,0,5,15,12,3,10,2,"[2, 2, 0, 0, 0, 1, 5, 2, 3, 0, 2, 3]","[2, 2, 0, 6, 0, 1, 5, 4, 3, 0, 2, 3]"
21,1,95,2,3,3,12,0,0,0,0,[],[]
